-7.519112e+01 -7.519112e+01 -7.519127e+01 -7.519128e+01 -7.519112e+01 3.995240e+01 3.995226e+01 3.995226e+01 3.995243e+01 3.995240e+01
-7.519112e+01 -7.519144e+01 -7.519143e+01 -7.519108e+01 -7.519112e+01 3.995222e+01 3.995224e+01 3.995213e+01 3.995213e+01 3.995222e+01
-7.519110e+01 -7.519100e+01 -7.519101e+01 -7.519108e+01 -7.519110e+01 3.995232e+01 3.995232e+01 3.995218e+01 3.995218e+01 3.995232e+01
-7.519134e+01 -7.519135e+01 -7.519140e+01 -7.519139e+01 -7.519134e+01 3.995221e+01 3.995231e+01 3.995230e+01 3.995217e+01 3.995221e+01
-7.519131e+01 -7.519131e+01 -7.519151e+01 -7.519150e+01 -7.519131e+01 3.995234e+01 3.995248e+01 3.995249e+01 3.995235e+01 3.995234e+01
-7.519147e+01 -7.519150e+01 -7.519172e+01 -7.519166e+01 -7.519147e+01 3.995208e+01 3.995232e+01 3.995232e+01 3.995199e+01 3.995208e+01
-7.519157e+01 -7.519178e+01 -7.519179e+01 -7.519162e+01 -7.519157e+01 3.995235e+01 3.995235e+01 3.995247e+01 3.995244e+01 3.995235e+01
-7.519186e+01 -7.519171e+01 -7.519167e+01 -7.519183e+01 -7.519186e+01 3.995226e+01 3.995226e+01 3.995211e+01 3.995210e+01 3.995226e+01
-7.519135e+01 -7.519113e+01 -7.519113e+01 -7.519138e+01 -7.519135e+01 3.995210e+01 3.995210e+01 3.995205e+01 3.995204e+01 3.995210e+01
-7.519140e+01 -7.519136e+01 -7.519142e+01 -7.519144e+01 -7.519140e+01 3.995204e+01 3.995213e+01 3.995213e+01 3.995205e+01 3.995204e+01
-7.519149e+01 -7.519110e+01 -7.519111e+01 -7.519156e+01 -7.519149e+01 3.995201e+01 3.995202e+01 3.995197e+01 3.995198e+01 3.995201e+01
-7.519165e+01 -7.519165e+01 -7.519176e+01 -7.519173e+01 -7.519165e+01 3.995193e+01 3.995200e+01 3.995202e+01 3.995191e+01 3.995193e+01
-7.519157e+01 -7.519108e+01 -7.519108e+01 -7.519155e+01 -7.519157e+01 3.995195e+01 3.995195e+01 3.995184e+01 3.995182e+01 3.995195e+01
-7.519184e+01 -7.519185e+01 -7.519180e+01 -7.519176e+01 -7.519184e+01 3.995186e+01 3.995200e+01 3.995200e+01 3.995185e+01 3.995186e+01
-7.519189e+01 -7.519196e+01 -7.519208e+01 -7.519203e+01 -7.519189e+01 3.995210e+01 3.995243e+01 3.995241e+01 3.995206e+01 3.995210e+01
-7.519206e+01 -7.519182e+01 -7.519182e+01 -7.519211e+01 -7.519206e+01 3.995202e+01 3.995207e+01 3.995205e+01 3.995198e+01 3.995202e+01
-7.519170e+01 -7.519169e+01 -7.519163e+01 -7.519165e+01 -7.519170e+01 3.995187e+01 3.995175e+01 3.995174e+01 3.995188e+01 3.995187e+01
-7.519205e+01 -7.519178e+01 -7.519177e+01 -7.519207e+01 -7.519205e+01 3.995183e+01 3.995182e+01 3.995175e+01 3.995172e+01 3.995183e+01
-7.519200e+01 -7.519200e+01 -7.519209e+01 -7.519209e+01 -7.519200e+01 3.995186e+01 3.995200e+01 3.995195e+01 3.995184e+01 3.995186e+01
-7.519101e+01 -7.519103e+01 -7.519093e+01 -7.519092e+01 -7.519101e+01 3.995213e+01 3.995179e+01 3.995179e+01 3.995216e+01 3.995213e+01
-7.519156e+01 -7.519109e+01 -7.519107e+01 -7.519154e+01 -7.519156e+01 3.995179e+01 3.995180e+01 3.995172e+01 3.995172e+01 3.995179e+01
